id,code,country,height,lat,lon,name,type
0,AD0944A,Andorra,1637,42.516945,1.565014,Engolasters,background
1,AD0945A,Andorra,2515,42.534882,1.716986,Envalira,background
2,AD0942A,Andorra,1080,42.509724,1.539172,Escaldes-Engordany,background
3,AL0201A,Albania,162,41.330269,19.821772,Tirana Center,traffic
4,AL0202A,Albania,207,41.3456,19.851667,Tirana IPH,traffic
5,AT0ACH1,Austria,463,47.503056,11.70028,Achenkirch - Am Zenzfeld,background
6,AT30101,Austria,270,48.120277,14.879178,Amstetten,background
7,AT31102,Austria,891,47.855278,15.321947,Annaberg - Joachimsberg,background
8,AT60190,Austria,785,46.651947,15.367789,Arnfels - Remschnigg,background
9,AT2M121,Austria,574,46.558887,13.705003,Arnoldstein Gailitz Waldsiedlungsweg,industrial
10,AT2VL62,Austria,670,46.558056,13.666947,Arnoldstein Hohenthurn,industrial
11,AT20444,Austria,570,46.554165,13.698625,Arnoldstein Kugi,industrial
12,AT2VL22,Austria,580,46.55722,13.7089,Arnoldstein Waldsiedlung,industrial
13,AT4S405,Austria,255,48.223335,14.416667,Asten Kirchengasse,traffic
14,AT4S125,Austria,460,47.716667,13.632792,Bad Ischl,background
15,AT30201,Austria,286,47.959999,16.206951,Bad Vöslau - Gainfarn,background
16,AT31406,Austria,188,48.083332,16.337223,Biedermannsdorf Mühlengasse,traffic
17,AT31496,Austria,180,48.081112,16.348612,Biedermannsdorf Sportplatz,background
18,AT2VK26,Austria,480,46.585556,14.795011,Bleiburg Koschatstrasse,background
19,AT82708,Austria,580,47.156113,9.82723,Bludenz Herrengasse,background
20,AT82707,Austria,580,47.156944,9.819725,Bludenz Rathaus,background
21,AT60151,Austria,449,46.873055,15.495011,Bockberg,background
22,AT4S410,Austria,363,48.246666,13.051403,Braunau Lach,traffic
23,AT4S156,Austria,350,48.258335,13.040006,Braunau Zentrum,background
24,AT80471,Austria,726,47.502777,9.745289,Bregenz Montfortstrasse,traffic
25,AT72519,Austria,520,47.430836,11.872784,Brixlegg Innweg,industrial
26,AT60144,Austria,550,47.415279,15.280847,Bruck an der Mur - Glorietteweg,background
